"ADMA Biologics, Inc.",Healthcare,Biotechnology,2.51,2.45%,8/18/2022,Thursday,no
Evolution Petroleum Corporation,Energy,Oil & Gas E&P,8.53,5.96%,09/19/2022,Monday,no
PG&E Corporation,Utilities,Utilities - Regulated Electric,13.46,2.91%,09/19/2022,Monday,no
Pono Capital Corp.,Financial,Shell Companies,10.20,0.20%,09/19/2022,Monday,no
Prospector Capital Corp.,Financial,Shell Companies,9.94,0.00%,09/19/2022,Monday,no
"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,6.15,4.77%,09/20/2022,Tuesday,yes
Bowlero Corp.,Communication Services,Entertainment,13.95,0.36%,09/20/2022,Tuesday,yes
"Broadwind, Inc.",Industrials,Specialty Industrial Machinery,3.55,5.65%,09/20/2022,Tuesday,no
FTAC Hera Acquisition Corp.,Financial,Shell Companies,9.91,0.05%,09/20/2022,Tuesday,no
H.I.G. Acquisition Corp.,Financial,Shell Companies,10.00,0.00%,09/20/2022,Tuesday,no
PG&E Corporation,Utilities,Utilities - Regulated Electric,13.30,-1.19%,09/20/2022,Tuesday,yes
"Satsuma Pharmaceuticals, Inc.",Healthcare,Biotechnology,7.49,7.77%,09/20/2022,Tuesday,no
Agile Growth Corp.,Financial,Shell Companies,9.91,0.10%,09/21/2022,Wednesday,no
"Eve Holding, Inc.",Industrials,Aerospace & Defense,12.38,5.54%,09/21/2022,Wednesday,no
"Stabilis Solutions, Inc.",Energy,Oil & Gas Integrated,8.84,73.67%,09/21/2022,Wednesday,no
Ares Acquisition Corporation,Financial,Shell Companies,9.94,0.00%,09/22/2022,Thursday,no
"Eve Holding, Inc.",Industrials,Aerospace & Defense,12.30,-0.65%,09/22/2022,Thursday,yes
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.94,0.10%,09/22/2022,Thursday,no
"Satsuma Pharmaceuticals, Inc.",Healthcare,Biotechnology,7.95,0.63%,09/22/2022,Thursday,no
H.I.G. Acquisition Corp.,Financial,Shell Companies,10.01,0.05%,09/23/2022,Friday,no
IG Acquisition Corp.,Financial,Shell Companies,10.02,0.15%,09/23/2022,Friday,no
"Altus Power, Inc.",Utilities,Utilities - Renewable,13.90,17.10%,09/27/2022,Tuesday,no
CONX Corp.,Financial,Shell Companies,9.99,0.10%,09/27/2022,Tuesday,no
Crucible Acquisition Corporation,Financial,Shell Companies,9.94,0.10%,09/27/2022,Tuesday,no
Liberty Resources Acquisition Corp.,Financial,Shell Companies,10.09,0.11%,09/27/2022,Tuesday,no
"Altus Power, Inc.",Utilities,Utilities - Renewable,14.23,2.37%,09/28/2022,Wednesday,yes
Crucible Acquisition Corporation,Financial,Shell Companies,9.95,0.10%,09/28/2022,Wednesday,yes
Accretion Acquisition Corp.,Financial,Shell Companies,9.94,0.30%,09/28/2022,Wednesday,no
"GigCapital5, Inc.",Financial,Shell Companies,10.12,0.10%,09/28/2022,Wednesday,no
Harmonic Inc.,Technology,Communication Equipment,13.00,10.17%,09/28/2022,Wednesday,no
H.I.G. Acquisition Corp.,Financial,Shell Companies,10.02,0.20%,09/29/2022,Thursday,no
Natural Order Acquisition Corp.,Financial,Shell Companies,9.98,0.05%,09/29/2022,Thursday,no
Harmonic Inc.,Technology,Communication Equipment,13.07,3.08%,09/30/2022,Friday,no
"Harrow Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,12.07,4.77%,09/30/2022,Friday,no
Lefteris Acquisition Corp.,Financial,Shell Companies,10.00,0.10%,09/30/2022,Friday,no
Lazard Growth Acquisition Corp. I,Financial,Shell Companies,9.92,0.10%,09/30/2022,Friday,no
Recharge Acquisition Corp.,Financial,Shell Companies,10.12,0.10%,09/30/2022,Friday,no
Carney Technology Acquisition Corp. II,Financial,Shell Companies,9.96,0.00%,10/03/2022,Monday,no
Fortress Value Acquisition Corp. III,Financial,Shell Companies,9.90,0.05%,10/03/2022,Monday,no
Health Assurance Acquisition Corp.,Financial,Shell Companies,9.99,0.05%,10/03/2022,Monday,no
"Harrow Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,12.82,6.21%,10/03/2022,Monday,yes
Lefteris Acquisition Corp.,Financial,Shell Companies,10.01,0.10%,10/03/2022,Monday,yes
NightDragon Acquisition Corp.,Financial,Shell Companies,9.95,1.32%,10/03/2022,Monday,no
Quest Resource Holding Corporation,Industrials,Waste Management,9.40,11.37%,10/03/2022,Monday,no
"Supernova Partners Acquisition Company III, Ltd.",Financial,Shell Companies,9.91,0.10%,10/03/2022,Monday,no
Austerlitz Acquisition Corporation II,Financial,Shell Companies,9.92,1.12%,10/04/2022,Tuesday,no
"Astria Therapeutics, Inc.",Healthcare,Biotechnology,11.11,16.82%,10/04/2022,Tuesday,no
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,6.24,2.30%,10/04/2022,Tuesday,no
Corner Growth Acquisition Corp.,Financial,Shell Companies,9.98,0.05%,10/04/2022,Tuesday,no
FTAC Hera Acquisition Corp.,Financial,Shell Companies,9.93,0.05%,10/04/2022,Tuesday,no
Harmonic Inc.,Technology,Communication Equipment,13.27,2.39%,10/04/2022,Tuesday,no
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.96,0.10%,10/04/2022,Tuesday,no
NightDragon Acquisition Corp.,Financial,Shell Companies,9.96,0.06%,10/04/2022,Tuesday,yes
PG&E Corporation,Utilities,Utilities - Regulated Electric,14.19,8.24%,10/04/2022,Tuesday,no
Senior Connect Acquisition Corp. I,Financial,Shell Companies,9.96,0.10%,10/04/2022,Tuesday,no
"Astria Therapeutics, Inc.",Healthcare,Biotechnology,12.75,14.76%,10/05/2022,Wednesday,yes
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,6.10,-2.24%,10/05/2022,Wednesday,yes
CONX Corp.,Financial,Shell Companies,10.01,0.00%,10/05/2022,Wednesday,no
Compute Health Acquisition Corp.,Financial,Shell Companies,9.89,0.15%,10/05/2022,Wednesday,no
"FingerMotion, Inc.",Communication Services,Telecom Services,8.86,29.15%,10/05/2022,Wednesday,no
Harmonic Inc.,Technology,Communication Equipment,13.23,-0.30%,10/05/2022,Wednesday,yes
"Immunovant, Inc.",Healthcare,Biotechnology,9.34,14.32%,10/05/2022,Wednesday,no
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.97,0.10%,10/05/2022,Wednesday,yes
PG&E Corporation,Utilities,Utilities - Regulated Electric,14.75,3.95%,10/05/2022,Wednesday,yes
"HeartBeam, Inc.",Healthcare,Diagnostics & Research,5.73,26.49%,10/06/2022,Thursday,no
Marlin Technology Corporation,Financial,Shell Companies,9.97,0.00%,10/06/2022,Thursday,no
Harmonic Inc.,Technology,Communication Equipment,13.75,3.93%,10/06/2022,Thursday,yes
"Immunovant, Inc.",Healthcare,Biotechnology,9.82,5.14%,10/06/2022,Thursday,yes
Kairos Acquisition Corp.,Financial,Shell Companies,9.98,0.20%,10/06/2022,Thursday,no
Northern Star Investment Corp. IV,Financial,Shell Companies,9.87,0.20%,10/06/2022,Thursday,no
PG&E Corporation,Utilities,Utilities - Regulated Electric,14.63,-0.81%,10/06/2022,Thursday,yes
CONX Corp.,Financial,Shell Companies,10.01,0.00%,10/07/2022,Friday,no
Churchill Capital Corp VII,Financial,Shell Companies,9.89,0.20%,10/07/2022,Friday,no
NightDragon Acquisition Corp.,Financial,Shell Companies,9.95,0.15%,10/07/2022,Friday,no
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,6.37,2.08%,10/10/2022,Monday,no
Compute Health Acquisition Corp.,Financial,Shell Companies,9.91,0.10%,10/10/2022,Monday,no
"SPAR Group, Inc.",Industrials,Specialty Business Services,1.79,3.47%,10/10/2022,Monday,no
Ares Acquisition Corporation,Financial,Shell Companies,9.96,0.20%,10/11/2022,Tuesday,no
Austerlitz Acquisition Corporation II,Financial,Shell Companies,9.94,0.10%,10/11/2022,Tuesday,no
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,6.39,0.31%,10/11/2022,Tuesday,yes
Colicity Inc.,Financial,Shell Companies,9.87,0.10%,10/11/2022,Tuesday,no
Pontem Corporation,Financial,Shell Companies,9.97,0.10%,10/11/2022,Tuesday,no
"Simon Property Group Acquisition Holdings, Inc.",Financial,Shell Companies,9.88,0.00%,10/11/2022,Tuesday,no
"FingerMotion, Inc.",Communication Services,Telecom Services,8.95,13.15%,10/12/2022,Wednesday,no
Harmonic Inc.,Technology,Communication Equipment,13.66,1.94%,10/12/2022,Wednesday,no
"Supernova Partners Acquisition Company III, Ltd.",Financial,Shell Companies,9.93,0.10%,10/12/2022,Wednesday,no
"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,9.50,9.45%,10/13/2022,Thursday,no
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,6.18,-5.65%,10/13/2022,Thursday,no
CONX Corp.,Financial,Shell Companies,10.02,0.05%,10/13/2022,Thursday,no
Edify Acquisition Corp.,Financial,Shell Companies,9.92,0.20%,10/13/2022,Thursday,no
Fortress Value Acquisition Corp. III,Financial,Shell Companies,9.98,0.71%,10/13/2022,Thursday,no
GX Acquisition Corp. II,Financial,Shell Companies,9.87,0.20%,10/13/2022,Thursday,no
Harmonic Inc.,Technology,Communication Equipment,13.88,1.61%,10/13/2022,Thursday,yes
KKR Acquisition Holdings I Corp.,Financial,Shell Companies,9.94,0.51%,10/13/2022,Thursday,no
Northern Star Investment Corp. III,Financial,Shell Companies,9.88,0.10%,10/13/2022,Thursday,no
Northern Star Investment Corp. IV,Financial,Shell Companies,9.88,0.10%,10/13/2022,Thursday,no
"Simon Property Group Acquisition Holdings, Inc.",Financial,Shell Companies,9.91,0.30%,10/13/2022,Thursday,no
Atlas Crest Investment Corp. II,Financial,Shell Companies,9.90,0.00%,10/14/2022,Friday,no
Authentic Equity Acquisition Corp.,Financial,Shell Companies,9.97,0.00%,10/14/2022,Friday,no
"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,10.02,5.47%,10/14/2022,Friday,yes
Class Acceleration Corp.,Financial,Shell Companies,9.91,0.05%,10/14/2022,Friday,no
Churchill Capital Corp VII,Financial,Shell Companies,9.89,0.20%,10/14/2022,Friday,no
Edify Acquisition Corp.,Financial,Shell Companies,9.92,0.00%,10/14/2022,Friday,yes
Hudson Executive Investment Corp. III,Financial,Shell Companies,9.89,0.10%,10/14/2022,Friday,no
Harmonic Inc.,Technology,Communication Equipment,13.47,-2.95%,10/14/2022,Friday,yes
"Reviva Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,3.54,-9.00%,10/14/2022,Friday,no
Sports Ventures Acquisition Corp.,Financial,Shell Companies,9.99,0.15%,10/17/2022,Monday,no
"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,10.48,4.59%,10/17/2022,Monday,yes
Bowlero Corp.,Communication Services,Entertainment,14.37,2.35%,10/17/2022,Monday,no
Class Acceleration Corp.,Financial,Shell Companies,9.93,0.15%,10/17/2022,Monday,yes
Fortress Capital Acquisition Corp.,Financial,Shell Companies,9.98,0.00%,10/17/2022,Monday,no
Heritage Commerce Corp,Financial,Banks - Regional,13.19,2.81%,10/17/2022,Monday,no
Northern Star Investment Corp. III,Financial,Shell Companies,9.90,0.20%,10/17/2022,Monday,no
Northern Star Investment Corp. IV,Financial,Shell Companies,9.89,0.00%,10/17/2022,Monday,no
Powered Brands,Financial,Shell Companies,9.97,0.00%,10/17/2022,Monday,no
"Akouos, Inc.",Healthcare,Biotechnology,13.19,88.16%,10/18/2022,Tuesday,no
"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,14.92,42.37%,10/18/2022,Tuesday,yes
Epiphany Technology Acquisition Corp.,Financial,Shell Companies,9.93,0.10%,10/18/2022,Tuesday,no
Marlin Technology Corporation,Financial,Shell Companies,9.99,0.05%,10/18/2022,Tuesday,no
Harmonic Inc.,Technology,Communication Equipment,14.30,2.29%,10/18/2022,Tuesday,no
"Reviva Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,4.31,16.80%,10/18/2022,Tuesday,no
two,Financial,Shell Companies,9.95,0.30%,10/18/2022,Tuesday,no
Warburg Pincus Capital Corporation I-B,Financial,Shell Companies,9.94,-0.20%,10/18/2022,Tuesday,no
Crucible Acquisition Corporation,Financial,Shell Companies,9.99,0.10%,10/19/2022,Wednesday,no
Harmonic Inc.,Technology,Communication Equipment,14.45,1.05%,10/19/2022,Wednesday,yes
INSU Acquisition Corp. III,Financial,Shell Companies,9.98,0.10%,10/19/2022,Wednesday,no
"LMF Acquisition Opportunities, Inc.",Financial,Shell Companies,10.42,23.46%,10/19/2022,Wednesday,no
NightDragon Acquisition Corp.,Financial,Shell Companies,9.99,0.10%,10/19/2022,Wednesday,no
Prospector Capital Corp.,Financial,Shell Companies,9.99,0.10%,10/19/2022,Wednesday,no
Goal Acquisitions Corp.,Financial,Shell Companies,9.92,0.30%,10/19/2022,Wednesday,no
Athlon Acquisition Corp.,Financial,Shell Companies,9.94,0.00%,10/19/2022,Wednesday,no
Tastemaker Acquisition Corp.,Financial,Shell Companies,10.03,0.10%,10/19/2022,Wednesday,no
Compute Health Acquisition Corp.,Financial,Shell Companies,9.94,0.20%,10/20/2022,Thursday,no
Marlin Technology Corporation,Financial,Shell Companies,10.02,0.30%,10/20/2022,Thursday,no
IMARA Inc.,Healthcare,Biotechnology,4.25,5.99%,10/20/2022,Thursday,no
Kairos Acquisition Corp.,Financial,Shell Companies,9.99,0.00%,10/20/2022,Thursday,no
Kadem Sustainable Impact Corporation,Financial,Shell Companies,9.89,0.10%,10/20/2022,Thursday,no
Bite Acquisition Corp.,Financial,Shell Companies,9.93,0.30%,10/21/2022,Friday,no
Compute Health Acquisition Corp.,Financial,Shell Companies,9.98,0.40%,10/21/2022,Friday,yes
"Hamilton Lane Alliance Holdings I, Inc.",Financial,Shell Companies,9.92,0.10%,10/21/2022,Friday,no
"Immunovant, Inc.",Healthcare,Biotechnology,10.11,5.09%,10/21/2022,Friday,no
Pontem Corporation,Financial,Shell Companies,9.99,0.05%,10/21/2022,Friday,no
